epoch,is_best,train_loss,valid_loss,ssim,ms_ssim,mae,gradient_mae,psnr,ncc,learning_rate,epoch_time_s,train_time_s,valid_time_s
1,1,0.26987893232682936,0.11534420048575035,0.2517316608649233,0.5727708895965187,0.11534420048575038,0.4086894204363155,13.540599870221051,1362903.8252671133,2e-05,380.37,235.06,145.31
2,1,0.08533649169871596,0.07119399683936925,0.48322222160472383,0.7123181524412068,0.07119399683936926,0.2337296918520461,17.05857479053995,3175675.0157833826,4e-05,386.86,241.12,145.74
3,1,0.06353125715640938,0.059195583342048115,0.5706654954071783,0.7554794063314724,0.059195583342048136,0.20103916831782476,17.968015074154028,5432033.863689166,6e-05,383.26,239.29,143.97
4,1,0.054888126299697526,0.05324538420336905,0.6295458309460378,0.7749510285071128,0.05324538420336906,0.1889142996861019,18.329625060016983,8709835.903447513,8e-05,381.42,236.92,144.50
5,1,0.05048080885491404,0.05053536380204745,0.6489066665515232,0.7857384068738436,0.050535363802047456,0.18330251331922512,18.53553569835165,10763877.602069408,0.0001,379.75,235.00,144.75
6,1,0.04769650203536968,0.04844501282983788,0.6671789066083189,0.7943060217056297,0.04844501282983788,0.17846327119367422,18.718840990665456,13582072.098159729,0.0001,380.73,236.10,144.64
7,1,0.0459397243095093,0.04695360590861255,0.6809153683519594,0.7998247192317737,0.046953605908612556,0.17538061736214564,18.817498851513516,16472975.88446767,9.999900307360887e-05,382.93,236.63,146.31
8,1,0.04465954802981039,0.04618146706480477,0.6792292849021258,0.8031894001695845,0.04618146706480479,0.17334914044589525,18.896026975290788,18085390.200215913,9.999601233459154e-05,381.30,237.27,144.03
9,1,0.04370731308954914,0.04517993470428934,0.69366630865036,0.8068524219347659,0.04517993470428935,0.1714844763782865,19.016056234709882,21985823.733067635,9.999102790341454e-05,381.99,237.43,144.56
10,1,0.04296503819677294,0.04488567248490698,0.6800411245673175,0.8098522914924483,0.04488567248490698,0.16973609807518658,19.051136241442915,16314199.058753803,9.998404998085001e-05,381.89,237.24,144.65
11,1,0.04231159625207486,0.04395533363663271,0.6938355376826968,0.8116757710270835,0.04395533363663272,0.16798773873147468,19.149506633408404,21009970.6276736,9.997507884796767e-05,381.27,236.15,145.12
