epoch,is_best,train_loss,valid_loss,ssim,ms_ssim,mae,gradient_mae,psnr,ncc,learning_rate,epoch_time_s,train_time_s,valid_time_s
1,1,0.07142636704659208,0.017376384490519016,0.4701177429245866,0.7058238485489107,0.07132826175768642,0.21622728816744977,17.677145062629343,1942963.6814452414,5.9999999999999995e-05,410.02,258.25,151.77
2,1,0.014401652926271494,0.014366132697246481,0.5168193745728277,0.7514918864301245,0.061303615331613784,0.1940100220858379,18.52694020294337,3906218.004230918,0.00011999999999999999,415.40,263.76,151.63
3,1,0.012531929931682813,0.012864316623933884,0.5980371687915206,0.7713252461474874,0.054518025173489214,0.18279694473661853,19.01789215720602,1282958.318346447,0.00017999999999999998,410.75,259.48,151.27
4,1,0.011472421334447938,0.011830610763199098,0.6271736122751773,0.7873590855878716,0.05183571916457488,0.1775263687790688,19.38253296362221,2594755.3749038856,0.00023999999999999998,411.92,260.92,151.01
5,1,0.010798912554110541,0.011423746314373673,0.6378831772460646,0.7921535828647214,0.05052888229633299,0.1736382295448039,19.53715581939992,1063701.539066401,0.0003,411.67,260.47,151.21
6,1,0.01031138923673294,0.010928107640217104,0.6489817532268315,0.8031602839244929,0.04829241153926569,0.16983322877190923,19.732666914781703,1384971.4325814752,0.0003,412.24,260.39,151.85
7,1,0.009928568144212266,0.010721456212060599,0.6585919115566401,0.8073323873890003,0.04757530610684468,0.16832732808162817,19.819635394306765,2243284.8866951517,0.0002999969890808995,414.99,262.68,152.31
8,1,0.009643348411381408,0.01049610954614119,0.6691942738066164,0.8125256421869311,0.04690257450580693,0.16573761381364868,19.91164134051681,4205613.4018588,0.00029998795644487744,418.42,265.52,152.89
9,1,0.009465584902011683,0.010307041201373079,0.6766419881255922,0.8148870663942346,0.04633040987435075,0.16446413692152922,19.978099333875228,3200121.2716815113,0.0002999729024557671,419.32,266.29,153.03
10,1,0.009259798300761844,0.010209889672494138,0.6826018338090172,0.81682975448656,0.04557568119799841,0.1632476924272215,20.0309047576118,5951069.736402702,0.0002999518277199409,417.66,264.60,153.07
11,1,0.009116797341192698,0.01012841641513747,0.680365852975615,0.8180762676945055,0.04529962819684507,0.16190189315717002,20.068913444420758,2805897.683312845,0.00029992473308628614,419.05,266.11,152.94
