epoch,is_best,train_loss,valid_loss,ssim,ms_ssim,mae,gradient_mae,psnr,ncc,learning_rate,epoch_time_s,train_time_s,valid_time_s
1,1,0.03910135141871616,0.0143634886548355,0.5455018679660876,0.7485418041475154,0.06186209922737401,0.19970798867660156,18.50578730693762,2558428.116560467,0.00016,385.23,233.44,151.79
2,1,0.012347287604851383,0.01233313913268131,0.6116049709023484,0.7803545177774729,0.05429157532823547,0.1855208427703755,19.175772518351458,6575610.093736551,0.00032,339.65,195.78,143.87
3,1,0.011082340997396684,0.011507276659617698,0.6363671070711624,0.7947497593175962,0.051351374685584344,0.1788382530392368,19.48076394099544,6838100.708336805,0.00048,330.24,180.94,149.31
4,1,0.010473529226621803,0.011161297353902373,0.6532649073191887,0.8049803659103919,0.048683533944405506,0.17344554812435942,19.621904828122272,8240262.382076223,0.00064,318.86,176.18,142.68
5,1,0.010054909829430435,0.010714087834365772,0.661874770362308,0.8085138797400079,0.04832585967159358,0.1698128115295788,19.795868898935364,9680068.359197903,0.0008,317.06,178.39,138.68
6,1,0.009719146571445222,0.01051442616322226,0.5953134576191649,0.8128169281903096,0.04870532553615994,0.16717977360214875,19.878578865585695,10764894.917978002,0.0008,311.10,171.73,139.37
7,1,0.00947180705043633,0.01038028891192713,0.6844221663431845,0.8166093079076298,0.04663568500717337,0.16512199834097122,19.933402152453066,14474510.047165588,0.0007999919540991261,316.87,177.03,139.84
8,1,0.009225675836205482,0.010302477523263832,0.6963148093309955,0.8209490749427086,0.0446689393762769,0.16184159594133568,19.977217887334778,15231826.48404943,0.0007999678167205924,312.92,171.71,141.21
9,1,0.009050699981677086,0.010046300511741964,0.6957187209872232,0.8205509885497715,0.044820697827417634,0.1624050634296764,20.079873730019095,20777419.983237404,0.0007999275888366487,319.89,175.93,143.96
10,1,0.00897185331666652,0.009904733580055737,0.6813249743863005,0.8252024596584016,0.04415520569669524,0.15977776435694258,20.14427422210214,14503087.421280274,0.0007998712720676683,316.27,174.83,141.44
11,0,0.008795671520412576,0.00990616309047105,0.6683914307594875,0.8236426637296516,0.04590088142990922,0.15984643612884814,20.141605836757716,4838897.126873055,0.0007997988686820825,321.22,178.24,142.98
12,1,0.008750925887832228,0.009702956254182351,0.7018347906605633,0.8262581723755684,0.043570292121528284,0.1588179822831194,20.231096741082013,10332370.603750143,0.0007997103815962893,328.72,184.75,143.97
13,1,0.008654512931294992,0.009673306080996364,0.7064334135052662,0.8269433018162055,0.04405127330975616,0.15814166278960767,20.242452474032046,17403461.467202388,0.0007996058143745353,310.83,171.06,139.78
14,0,0.008526131902270171,0.009695260082810197,0.7094902055706955,0.8290244188645611,0.04296336258010228,0.15598595263391446,20.237343970128304,25382588.71998984,0.0007994851712287732,314.08,172.74,141.34
15,1,0.008477033686754452,0.009515426655925344,0.7075926985429681,0.828923740680667,0.04317450032857413,0.15776086426317548,20.316623060023726,25182707.925694548,0.0007993484570184912,312.40,172.55,139.85
16,0,0.008402052966459673,0.009575841223184415,0.7019639489587378,0.8281331060157306,0.04385894819968133,0.15809894327056292,20.277070060444338,7180290.865517223,0.0007991956772505179,312.35,171.97,140.37
17,0,0.008392541593282806,0.009715427377695391,0.7097812034369667,0.8292025445380072,0.04542152126486175,0.15641356389609656,20.22566753078774,26402716.320526708,0.0007990268380787998,309.93,170.11,139.81
18,1,0.008270395276624532,0.009367243120512037,0.7127014065278325,0.8312253842247281,0.042194423764035247,0.15595734127063826,20.38627422950118,31048243.94189111,0.0007988419463041544,308.93,170.14,138.79
19,0,0.008270093742251194,0.009452206596106752,0.7065172042103781,0.8306645193105735,0.04248479231269715,0.15617767659326395,20.34819565763796,19921017.959688906,0.0007986410093739953,310.29,169.84,140.45
20,0,0.008140134863986247,0.009687195197681355,0.7068094812369577,0.8275757776798257,0.043608050998120346,0.15724638650184813,20.223686306948824,30974813.05184061,0.0007984240353820326,320.00,178.78,141.22
21,0,0.008205679050158886,0.009485888312872188,0.713793740288359,0.830716026434,0.04295890868735918,0.15509881934933906,20.330984038431286,32173205.10440438,0.0007981910330679473,309.22,170.20,139.01
22,1,0.0080905016239251,0.009332106686039754,0.7142589424111417,0.8327892658071242,0.04256234483811375,0.15416393660746766,20.402284906682183,25027243.65268398,0.0007979420118170386,308.62,169.91,138.71
23,1,0.008012346516610409,0.00927500627402909,0.7137090627481972,0.8323208240495212,0.04189907197035165,0.15494685008635986,20.427388648480033,40163646.08109714,0.0007976769816598461,308.88,169.61,139.27
24,0,0.007997539380349878,0.009387434345213386,0.7154327087140314,0.8334167839392371,0.04274078787322458,0.15451494406836763,20.37619902085567,40650896.591465674,0.0007973959532717458,308.72,169.80,138.93
25,0,0.007925413608500341,0.009620075779382122,0.7094824899006005,0.8303527862625422,0.042863299685489874,0.15515318478273166,20.257188413454138,26234581.194292724,0.0007970989379725205,309.13,170.35,138.77
26,0,0.007950363490020944,0.00935179067681125,0.7134950800218444,0.8334098508320569,0.04208760075541078,0.15380302094966894,20.39205215518601,15450471.580568615,0.0007967859477259028,308.84,169.52,139.32
27,1,0.007942037468738094,0.009273282177735043,0.7147220239979057,0.8329416811466217,0.041597746448717325,0.15444419372394896,20.432077787924506,37095508.10723136,0.0007964569951390944,308.41,169.68,138.74
28,0,0.007881569306106388,0.009421637267153256,0.7174914265816338,0.8331284589237637,0.04172307300687304,0.15400504220529024,20.364309092074777,38428127.08482451,0.0007961120934622574,308.31,169.56,138.76
29,1,0.00781009611071778,0.00924499198380444,0.7163196738791351,0.8342143410213904,0.041417441144135696,0.15329824030795247,20.445634006878027,39185711.85513672,0.0007957512565879811,309.46,170.09,139.37
30,0,0.007799607948685179,0.009280408316422342,0.7183358243842056,0.8352328194440275,0.04182307787266546,0.15295668209988425,20.42977831674659,31708130.58324248,0.0007953744990507222,309.83,170.54,139.30
31,1,0.00769870079306214,0.009164564082610476,0.7191197181453451,0.8352048361430997,0.0413591364817019,0.15318285088068334,20.484958014050545,38220005.8843128,0.0007949818360262195,308.23,170.19,138.05
32,0,0.007663575491430808,0.009211891410919574,0.7192858675323822,0.8351843489181017,0.04141438649494903,0.15310779835236965,20.46083439145111,35155124.74332448,0.0007945732833308823,308.74,169.63,139.11
33,0,0.007691896601649774,0.009269613820996475,0.7084475844594591,0.8334024986207197,0.04261744540445687,0.15347598625374012,20.431487860886946,26219180.004186247,0.0007941488574211533,308.24,170.26,137.97
34,1,0.007642241074469219,0.00915272295045338,0.7185454448496086,0.8360328390330508,0.04127453162294367,0.1538823758913339,20.492608810968445,29835657.11739982,0.0007937085753928467,308.77,169.86,138.92
35,1,0.007584425978692007,0.009129422266882103,0.7213772941326749,0.836322384647989,0.04061818558830714,0.15256434953929002,20.498463623765588,32273729.82891422,0.0007932524549804582,309.37,170.32,139.05
36,0,0.007668595720513338,0.00919585674635589,0.7180751839985594,0.8346130813737422,0.04125907213949027,0.15322238961369664,20.47069129621349,39620704.29714504,0.0007927805145564514,309.64,170.36,139.28
37,0,0.007614190356970645,0.009140919912538984,0.7167657866786068,0.8360596241942351,0.04106972269502419,0.15284847436643742,20.49532275384175,26293912.69013662,0.0007922927731305178,308.58,169.90,138.68
38,0,0.007486115271846453,0.00922913298518104,0.7183050332222007,0.8355950686162796,0.041286679770986455,0.15258921575755025,20.452832784053783,43523384.831491314,0.0007917892503488111,309.25,170.15,139.10
39,1,0.007496731967798301,0.00911187207785206,0.7202756900862219,0.8361075316434321,0.04128242404524075,0.1523723615972316,20.507943572629475,46874739.105174966,0.0007912699664931554,308.56,169.53,139.04
40,0,0.007436785067678715,0.009169824396941705,0.7190077684927678,0.8360294984374645,0.04122993421677842,0.15180918678263391,20.48377555925489,29833790.725300033,0.0007907349424802286,301.29,167.64,133.65
41,0,0.00744377387256748,0.009114220212854823,0.7193141007696949,0.8368224381392705,0.0412865177815969,0.1528952294771654,20.510554053357257,40495135.74404354,0.0007901841998607202,296.32,163.06,133.27
42,1,0.007438982803957397,0.009102960215861223,0.721063241938462,0.8371416218038918,0.04053833103482274,0.15166666896806824,20.51270358228453,33109649.482767243,0.0007896177608184623,297.27,163.01,134.26
43,0,0.007406374776647204,0.00919128263314088,0.7205241490245441,0.8363448627976979,0.04069783589195298,0.15163373321762696,20.473621208310703,38100367.69430837,0.000789035648169537,295.92,162.72,133.20
44,0,0.0073825629542068555,0.009229769722158132,0.7136914715314833,0.8349794725649022,0.042238688013169934,0.15243222472226417,20.45650553472952,34747668.0933769,0.000788437885361357,296.49,163.14,133.34
45,1,0.007300902027510056,0.00905065566182119,0.7207238033125942,0.8369505887014278,0.04076605068591698,0.15251718468262235,20.539711033088572,30196097.480551045,0.0007878244964717212,294.65,162.34,132.32
46,0,0.007419947901626631,0.00916662688731499,0.7220436846432479,0.8364106733441928,0.040424737446055105,0.1519001099249519,20.48752075923238,35909301.01738833,0.0007871955062078444,295.44,161.88,133.56
47,0,0.007300444136113942,0.009125247073825449,0.7231693624514313,0.8373633594688586,0.04050109776497283,0.15179407680272192,20.505445256901247,44073918.65532726,0.0007865509399053626,296.44,162.83,133.61
48,0,0.007303541633268806,0.009100941604268753,0.7207491072839585,0.8353803915821988,0.04087598862211953,0.15243352292744433,20.5130427091018,34366608.87612971,0.000785890823527313,296.60,163.66,132.94
49,0,0.007320058207046621,0.0090623759247862,0.7216251137607915,0.8376457534262524,0.04045555727884785,0.15182550205142745,20.534363744339505,34902496.97332889,0.0007852151836630864,295.91,162.73,133.18
50,0,0.007290891124581804,0.009199242892951797,0.7190155318177841,0.8366901049219467,0.04124526118247765,0.15273448883371366,20.468016606022193,42319550.13940201,0.0007845240475273584,296.59,163.75,132.83
