epoch,is_best,train_loss,valid_loss,ssim,ms_ssim,mae,gradient_mae,psnr,ncc,learning_rate,epoch_time_s,train_time_s,valid_time_s
1,1,0.5211299148546595,0.5573921200733828,0.34310995969147495,0.45294758027806375,0.42201565598376134,0.4771002328770172,2.2097014639040697,729609.7041766219,0.00016,311.82,169.71,142.12
2,0,0.7706634151692293,0.8431375346681926,0.17242089001200914,0.1603499114949814,19.058461575260484,8.170594824541018,-31.47732366340748,-63771.855381337555,0.00032,312.84,169.17,143.67
3,0,0.8445301209988237,0.9153064936039531,0.08183468948455824,0.09419285125832483,63.97940180497469,25.164008004077967,-41.563125787725774,-85485.35860238987,0.00048,313.58,169.42,144.16
4,0,0.9954793471868346,0.9998317559560143,0.07489537605835836,0.00021490871943620328,65.93863219224312,25.375753414227766,-41.74162381628285,-88464.46280118445,0.00064,311.58,169.46,142.12
5,0,0.9998631597376194,0.9999954869637742,0.03741001851681242,4.0400996679739296e-05,65.03828566316245,24.847330990044966,-41.504583814869754,-87422.12379377519,0.0008,309.24,169.08,140.16
6,0,0.9809840725392711,0.9999913140627498,0.10774975064422053,0.048450963038800435,93.66622052215723,35.5649831318049,-44.81880920751083,-68937.43981368173,0.0008,311.17,169.05,142.12
7,0,0.991624775386992,0.9988112187615912,0.016675484504501206,0.0706263147958145,105.20602163830817,37.07052184763738,-44.599542949510656,-65354.87472252091,0.0007999919540991261,307.53,168.90,138.63
8,0,0.9988029576483227,0.9999695870899348,0.007214524636409529,0.000670036982482075,91.38180353791242,44.228503906784425,-43.163773486003784,-62873.15230692187,0.0007999678167205924,308.16,168.41,139.74
9,0,0.9999088556588102,0.9999947294160939,0.00861480248954759,0.0005592459849175772,95.6246409992089,46.313259721378195,-43.455267369459214,-68118.17301322758,0.0007999275888366487,308.66,168.75,139.91
10,0,0.9998832123620169,0.999988230674163,0.011632808401746504,0.0010398033884456343,108.70274589372718,50.04995274198228,-44.84050319045062,-72684.51407048028,0.0007998712720676683,307.90,168.24,139.66
11,0,0.9998928889125382,0.9999655845804497,0.01917623612717028,0.008167381913408638,132.35077282080903,57.041714209865255,-46.95561390337737,-70991.26471430456,0.0007997988686820825,307.75,168.81,138.94
12,0,0.9999675605572811,0.9999995096294206,0.010308443304603461,0.0005462994724800722,105.69105907338829,53.0570284133948,-43.90253407252583,-75590.8299284367,0.0007997103815962893,308.17,169.59,138.58
13,0,0.9999824285507202,0.9996439733223059,0.00967034140623125,0.005291795301822505,114.3329976077241,69.19984048576171,-45.52708651823698,-52209.7973044941,0.0007996058143745353,311.26,169.14,142.12
14,0,0.9999882247983193,0.9999965439744037,0.006244803145291635,0.000396093370005509,132.42856678985743,66.15967087123705,-46.332372561745025,-65201.8670934479,0.0007994851712287732,307.90,168.84,139.06
15,0,0.9999927133119025,0.999995944544601,0.005705908028738447,0.00036418164038829544,120.65704146445086,53.66325121801257,-45.3348416245502,-71095.36486504039,0.0007993484570184912,309.36,169.60,139.76
16,0,0.9999956765142428,0.9999972715397957,0.003984265880893178,0.0004474195124193358,113.48284057718544,58.812296173998696,-44.90748323680122,-50598.40367172236,0.0007991956772505179,307.77,168.17,139.60
