epoch,is_best,train_loss,valid_loss,ssim,ms_ssim,mae,gradient_mae,psnr,ncc,learning_rate,epoch_time_s,train_time_s,valid_time_s
1,1,0.9698223241332437,1.1611072273502019,0.08467060489724008,0.11167208893800487,1.3304064099627417,0.9312229301546506,-6.095946531364883,20327.668034877264,0.00016,326.24,177.62,148.62
2,0,1.4368034414693611,2.8342076518397397,-0.005894063102617941,0.018665180388041703,4.661366737983077,5.1999417672986565,-19.5783305513686,170010.73000301543,0.00032,324.98,178.23,146.75
3,0,3.4173774717616388,2.4040700492363625,0.0041446789270598704,0.09988094081175355,3.8119858513419755,6.548966391650951,-21.978298793092442,2218576.2836582023,0.00048,326.71,179.35,147.36
4,0,5.800477462560952,22.055619834125913,0.047703739748270156,0.03183856811531896,43.1586230273408,43.48758769841586,-38.526894357469345,210037.04248086226,0.00064,327.92,180.63,147.29
5,0,8.76945723708795,5.921653724235037,0.00509996566920629,0.1110038245231777,10.848405138305996,20.756738935691722,-29.630579657024807,36315.9098215153,0.0008,327.66,180.49,147.17
6,0,9.940673739893906,3.264988676505388,-0.04675379032066659,0.07553298720541064,5.4794966725335605,10.467066133943733,-26.84807072399895,70572.57457366107,0.0008,328.59,180.72,147.88
7,0,9.816248909956744,2.7659624711326942,0.19141169701329463,0.1145695420027067,4.699695843717326,9.569961258754638,-20.935033066837107,-10621.113578971966,0.0007999919540991261,327.63,180.33,147.31
8,0,10.478744663835382,11.882689877984609,0.11226190019686873,0.02229073753407234,22.870281203357493,39.92295226037214,-35.17583753060603,51272.25648614722,0.0007999678167205924,320.33,179.75,140.58
9,0,9.290598827803215,11.532169936935675,0.033223003467909344,0.009910326172397494,22.085920235960955,26.098023476807967,-35.5810576821295,997557.6436977244,0.0007999275888366487,308.75,168.86,139.89
10,0,7.962548771034292,3.717354814643447,0.005057512617373803,0.001702304504145715,6.428444747763556,4.895626410769956,-18.424948236216668,-278686.4105088682,0.0007998712720676683,308.44,169.12,139.31
11,0,3.8126123966813896,3.5604003721101267,0.004993233241895574,0.02587974038152789,6.121151277408508,4.014069342814782,-17.200559430652195,-57798.29623608142,0.0007997988686820825,308.42,168.76,139.66
12,0,3.553934243260598,4.293300593244855,0.0066880638384123016,0.03178313769656571,7.586697429562537,5.379664677064776,-20.074262083440587,241039.3685126645,0.0007997103815962893,307.36,168.95,138.41
13,0,4.349801356451852,3.965428395403758,0.008068224076763164,0.007674086638221546,6.935652020760781,8.70926300799789,-21.15933891079852,8716.756759472437,0.0007996058143745353,306.96,168.19,138.77
14,0,4.5922372623365755,4.435701273057771,0.0841018196289846,0.01091585955599431,7.943492594836415,6.7285899070725925,-22.096605396501108,-85630.88238928306,0.0007994851712287732,307.71,168.33,139.39
15,0,5.888140732252679,4.506259970330964,0.13080935575661884,0.04404800480281133,8.132412564063419,8.201592465529695,-22.58501567011294,-21133.29075172809,0.0007993484570184912,307.26,168.32,138.94
16,0,7.119118125422471,10.765320459425736,0.00840482016230128,0.005884881238283076,20.53041931050987,20.974822410638783,-33.66136483408979,409949.66405772674,0.0007991956772505179,307.52,168.22,139.30
