epoch,is_best,train_loss,valid_loss,ssim,ms_ssim,mae,gradient_mae,psnr,ncc,learning_rate,epoch_time_s,train_time_s,valid_time_s
1,1,0.8251836714748895,0.7911717398347101,0.12529970976057644,0.24235642288066148,0.43359880378520815,1.539482677952295,3.5235950266297507,426906.6192197027,2e-05,479.64,290.80,188.84
2,0,0.8517318045054503,0.8857963738330125,0.05654153222332134,0.16567290556615583,0.6329031361569913,1.7875546424285225,0.5416965224968333,202764.3223690042,4e-05,399.04,241.65,157.39
3,0,0.9045219487373712,0.9482264847235219,0.031840999645215494,0.13722476699717956,0.7949373486441307,1.8208543672653787,-1.4175776752392835,213258.62972185903,6e-05,404.95,238.21,166.73
4,0,0.9175691725229828,0.968328165787237,0.026277925934261627,0.12790811175237532,0.8538833908892676,1.7775399524616542,-1.601132277921202,225061.1334890607,8e-05,432.86,262.38,170.48
5,0,0.9513413323572889,0.959427126843764,0.019449723756612667,0.133380018774534,0.8210361257027504,1.738642947157416,-1.8365367687218814,224418.9729574441,0.0001,442.30,272.03,170.26
6,0,0.9966171016602248,1.197586413934803,0.014246027681214702,0.11475778156486542,2.040498323150687,2.355586092061275,-10.727225289828535,673262.8734430466,0.0001,438.16,271.94,166.22
7,0,1.520738724139122,1.8980588462809624,0.09265590649047167,0.11977017007396225,5.856109340409726,7.523873094583287,-23.23661311544274,8104060.9108128585,9.999900307360887e-05,405.50,244.00,161.50
8,0,2.173832713584069,1.854720548731119,0.08435803741192664,0.15294558241447484,5.610294348759735,5.957231527557312,-23.890818305637527,15932378.962623142,9.999601233459154e-05,405.00,251.09,153.91
9,0,2.492750608120553,3.289296150207519,0.17414989531484107,0.14182443027467062,13.142573673752002,13.544831923624551,-32.63146009614118,61780749.43293615,9.999102790341454e-05,383.57,231.15,152.41
10,0,2.9309930840334744,3.4370629829677037,0.28821995756596375,0.20226902310135092,14.331505336239333,15.001825692764994,-33.40088828251174,64083658.69809013,9.998404998085001e-05,383.58,230.31,153.27
11,0,3.822807514948767,6.367240938971392,0.2808444965660764,0.15530376211288663,28.963177039811384,24.809209893483086,-38.00498311415963,106557566.81751241,9.997507884796767e-05,389.40,234.27,155.12
12,0,5.31219368794436,6.35361612649356,0.29638525912607155,0.1598175316899055,28.957696199801042,25.32526729417884,-37.8225233996356,128309707.98135792,9.996411486612346e-05,391.73,234.98,156.75
13,0,6.2946421256299026,6.399293803170491,0.2895557722931611,0.14329126888163232,29.157291001551776,26.22875783370505,-37.85557025411855,126609494.91698764,9.995115847694492e-05,391.34,235.45,155.89
14,0,7.7515885552996515,7.600734205829547,0.20035423710942268,0.14134113807321172,34.80450342933913,29.96737176861356,-39.519204648028634,188305764.0908771,9.993621020231358e-05,387.82,233.27,154.55
