epoch,is_best,train_loss,valid_loss,ssim,ms_ssim,mae,gradient_mae,psnr,ncc,learning_rate,epoch_time_s,train_time_s,valid_time_s
1,1,0.9402454603605391,1.0122494183828679,0.08824020192393023,0.11468939421827426,1.01125826800599,0.5726409795875519,-4.405476417610888,244290.1042598924,5.9999999999999995e-05,386.11,230.32,155.79
2,1,1.0021160714287722,1.007290923725004,0.05982667571398611,0.0789873238792418,1.3053478806874985,1.221315367018351,-4.086889269943207,145308.77110882016,0.00011999999999999999,414.82,242.70,172.11
3,0,1.0183010754156891,1.1188160259750533,0.011603575040872739,0.22503917395540673,1.6326051181641177,1.215319589116339,-9.826792968452073,374927.8138203411,0.00017999999999999998,420.32,249.37,170.96
4,0,1.7360935495682939,2.413805829154121,0.03837422776934293,0.07325028220188598,8.220256019137716,6.229617912412266,-22.641028322843347,-30173.1408551622,0.00023999999999999998,418.83,248.55,170.29
5,0,2.1026281737156225,2.0786164857435137,-0.08902488150986304,0.049535100882941926,6.00187444821264,5.188493873378121,-20.071436498092183,50546.84368550177,0.0003,420.66,250.88,169.79
6,0,2.308273450648936,1.9762727865850274,-0.06161406374912883,0.08794495746817278,5.610031403589172,3.4200792469072265,-19.180449035048678,799833.0165891082,0.0003,418.53,250.22,168.30
7,0,2.3858871730399436,3.081230313497658,-0.11088071153281727,0.043376479258883785,10.881101491562601,7.078540409436741,-24.30737045997583,235848.87469003248,0.0002999969890808995,422.68,252.72,169.96
8,0,2.2764693293078193,2.630707744526978,0.0002794670870918383,0.04652636731043458,9.14558469634893,6.669108782797428,-23.82817230516394,2396085.7671463103,0.00029998795644487744,446.78,265.84,180.94
9,0,2.618848123264832,2.739440858172141,0.008973628264362961,0.028822782211719553,9.702335738905386,4.740084755247918,-22.49614382404444,221179.16400139325,0.0002999729024557671,428.45,260.47,167.98
10,0,2.865284826058874,3.1726339436383633,0.11835214438219817,0.08585482837719281,12.332216320790339,6.098916635421163,-25.64558072788896,632043.4817864193,0.0002999518277199409,422.44,258.65,163.79
11,0,3.0383726436299985,3.0476825524259485,0.00747826785331325,0.006118923622054995,11.266741787945783,10.590531573395415,-22.74649279513029,-85827.31996495683,0.00029992473308628614,426.87,267.42,159.45
12,0,2.785015170024657,2.0872884996943215,0.004334005797287485,0.03233155915089028,6.44376069067373,4.717923643508395,-19.008471700880264,379452.56216009264,0.0002998916196461708,407.95,247.71,160.24
13,0,2.027254484526259,2.2546480513041334,0.001347541128724341,0.01945440333121289,7.257439587235258,7.033020162735968,-19.302870166858423,98526.88978466396,0.00029985248873339927,430.04,263.39,166.65
14,0,2.1430840084427283,2.15801770373243,0.021812524625524615,0.052271911053319915,6.848785592546018,6.048724133419338,-21.09958814000546,1249692.5999188637,0.00029980734192415915,442.63,277.13,165.50
15,0,2.229543334126689,2.0771879910846835,0.011731428047904563,0.03582885785361275,6.413516210857029,7.183044372933306,-20.99039554979874,486868.9322459757,0.0002997561810369572,444.64,275.90,168.75
16,0,2.538693056565231,2.960707302254755,0.0073568768066882,0.018737381210193735,10.81780529598107,8.326072311055833,-24.888129671990583,178364.56950887133,0.00029969900813254667,453.30,293.34,159.96
17,0,3.1310373648541376,4.108877209073682,-0.00014209647894819247,0.0058963045209980665,16.54309437662699,19.134848164667446,-27.594120817291948,46209.14034129229,0.00029963582551384367,728.66,544.48,184.18
