epoch,is_best,train_loss,valid_loss,ssim,ms_ssim,mae,gradient_mae,psnr,ncc,learning_rate,epoch_time_s,train_time_s,valid_time_s
1,1,0.3273322760923649,0.29044558024919,0.7095544197508099,0.7938497583382768,0.05719608709332884,0.17268903803335559,12.42941299252625,13021141.388095655,0.0006000000000000001,552.69,359.73,192.96
2,1,0.2702265832699886,0.28100555935178106,0.7189944406482189,0.8106258203759595,0.048421682317243274,0.1605958176699297,17.50055519461943,11012329.272100314,0.0012000000000000001,434.05,239.12,194.94
3,1,0.2625145655910985,0.2745907898166705,0.7254092101833297,0.8191666734824584,0.046532680576351695,0.1578241221266912,17.368479939859892,11259490.780232871,0.0018,443.19,250.52,192.67
4,1,0.25744073293646985,0.27285245117806817,0.727147548821932,0.8222149965009561,0.04519350159713452,0.15402461814280372,18.279135416041232,10905024.433577672,0.0024000000000000002,441.11,250.40,190.71
5,1,0.25760333302880634,0.27224177912533326,0.7277582208746668,0.8224525563995211,0.0480464708306283,0.15906753868122092,13.734244346797919,12217552.864531273,0.003,437.76,247.29,190.47
6,1,0.25194895708101406,0.26849027081907867,0.7315097291809214,0.8299193395197284,0.04414633200282142,0.15152118543059276,19.100419072278992,13457576.028817888,0.003,428.30,245.88,182.42
7,1,0.2503426965942729,0.2670888868541345,0.7329111131458654,0.8303661472543024,0.046189345118135175,0.15734206340789364,14.386399517268067,16371624.763269057,0.0029999698001793233,422.30,233.97,188.33
8,1,0.2481567197916459,0.2662781140687883,0.7337218859312116,0.8314854959682789,0.04339511255361851,0.15044343346078304,18.395321386320802,5538487.249633409,0.0029998792019337375,427.83,245.52,182.32
9,1,0.24810304171374056,0.2646034640530063,0.7353965359469937,0.833616926700254,0.043565555407725734,0.15256776819662418,15.934051627213888,14381050.961762229,0.002999728208912527,436.81,247.86,188.95
10,0,0.245443532715579,0.2658951532919773,0.734104846708023,0.8340223692784186,0.042890784278083856,0.1500557628466778,19.207281717028703,10146336.538711512,0.0029995168271976682,434.83,245.69,189.14
11,1,0.24464318111640254,0.26216357182325883,0.7378364281767411,0.8370263773752595,0.04169035002945512,0.1473847457101265,19.147842001958093,18560530.4461054,0.002999245065303586,436.54,252.37,184.17
12,0,0.24336243246147693,0.265428050792622,0.734571949207378,0.8321113191696207,0.050530264176531614,0.15511729985607275,13.879794079465322,17247072.25887633,0.0029989129341768104,450.79,261.51,189.28
13,1,0.24515242538754903,0.2611950011121143,0.7388049988878859,0.8391202208936898,0.04047709114936394,0.14676455346807937,19.567631212372078,11776737.939613748,0.0029985204471955334,438.17,257.76,180.41
14,0,0.24265796735443496,0.26158726646499225,0.7384127335350078,0.8388853420664178,0.04176142838908375,0.14556868418658955,19.53057793725895,17311903.724025495,0.002998067620169075,417.78,236.37,181.41
15,0,0.2416181056137258,0.2612735539860385,0.7387264460139613,0.8396414447338533,0.04074557188292788,0.14710604491658016,19.64431036162956,16954015.28047298,0.0029975544713372404,419.84,236.77,183.07
16,1,0.24155774108406639,0.2598030451001809,0.7401969548998192,0.8414853186834426,0.03968412976248666,0.14679048696758518,19.70643522520489,16040821.196061917,0.0029969810213695907,424.22,238.87,185.35
17,0,0.240541196247888,0.2607316187833094,0.7392683812166904,0.8410042117272895,0.04030681785958789,0.14536714144103471,19.67306260275079,15746741.172542272,0.0029963472933646064,900.48,562.07,338.41
18,1,0.24063373390509157,0.2585622988145755,0.7414377011854246,0.8431987309278627,0.04014353528326897,0.14591188510247016,19.72998745622993,17704801.4246842,0.0029956533128487595,712.10,527.24,184.86
19,0,0.2399284629594712,0.2594088669016775,0.7405911330983226,0.8420195944198576,0.04227051574692672,0.14517224958342004,19.624176605604777,19487839.9608276,0.002994899107775484,487.82,295.31,192.51
20,1,0.23953277751161398,0.2580008213003166,0.7419991786996835,0.8425462449413719,0.039927812284189866,0.14459559763168892,19.690087345629923,23233709.223825976,0.00299408470852405,450.32,261.23,189.08
21,0,0.2395270944993242,0.2585947816573595,0.7414052183426406,0.8420002810898042,0.040038007027653894,0.14474328395644656,19.706025247955168,14718283.601815905,0.0029932101478983403,446.36,255.49,190.88
22,0,0.23904443779229578,0.2585768172940695,0.7414231827059303,0.8425030313224133,0.040708001285360264,0.1448650942261688,19.662388332881243,18598406.7694576,0.00299227546112553,445.42,254.00,191.42
23,0,0.23881840681543157,0.25806145257731394,0.7419385474226862,0.8433576120126911,0.041492751787734934,0.14512158497518293,19.716388560596517,13987684.826790517,0.0029912806858546663,437.45,254.10,183.34
24,0,0.23856691154492957,0.25839183136284877,0.7416081686371513,0.8426276690777416,0.03970675037263243,0.14613270919162968,19.690339034404147,13920725.92819381,0.002990225862155151,471.05,254.21,216.84
25,1,0.23808366949596102,0.2571846800250943,0.7428153199749058,0.8434464896997104,0.04202284036634233,0.14463362468996752,19.574811416144637,24826719.020447288,0.00298911103251513,435.64,251.85,183.78
26,0,0.23838205894375064,0.2573485217804358,0.742651478219564,0.844866365990726,0.04003610376246919,0.14530563080690462,19.809649169313303,19382514.829698313,0.002987936241839778,433.65,256.87,176.78
