epoch,is_best,train_loss,valid_loss,ssim,ms_ssim,mae,gradient_mae,psnr,ncc,learning_rate,epoch_time_s,train_time_s,valid_time_s
1,1,0.9364290222829702,0.9630371472901768,0.06535736400103151,0.08814101565431282,0.8484993368963113,1.0276354658574873,-1.4999935830304214,14904.204718197647,0.00016,400.55,230.51,170.03
2,1,0.9909097455796742,0.9556951707471973,0.06707808406402667,0.08764293626094787,3.485943380833248,1.2970688392358702,-14.202248893498222,-58308.13563140312,0.00032,333.18,196.61,136.57
3,1,0.8794856553175011,0.8753058311803916,0.13855878807658303,0.09271362653578033,4.2311077093444585,2.0607158838262882,-15.315229192448124,-9991.337766795335,0.00048,302.65,165.59,137.06
4,1,0.8543898381343504,0.7824750560997187,0.20957643322754596,0.09006185808943377,12.158605653882603,13.909227014739733,-30.513451901035033,633734.6117327237,0.00064,302.27,165.51,136.76
5,0,0.8729785258267202,0.8252414149290701,0.1897159704965526,0.039379282339345574,17.20921780521743,20.93026416428423,-34.51429543057502,4410205.460958574,0.0008,301.03,164.95,136.08
6,0,0.8231149210410864,0.788023583806943,0.2249597986161277,0.1001591767332908,8.350692123030695,12.079927859674905,-28.71362222104833,425642.87334694027,0.0008,302.42,165.77,136.65
7,0,0.8365379974144657,0.8184233201298735,0.1912662177414134,0.10255481563913434,5.451618219199388,4.56023414209845,-19.002936808959298,-77281.68378106903,0.0007999919540991261,299.93,165.72,134.21
8,0,0.9229534879022715,0.7939912894569732,0.21476559660392971,0.1366881089563963,11.955103240439282,6.003879567851191,-25.064969864444457,-27376.5792902709,0.0007999678167205924,300.20,164.39,135.81
9,0,0.9508196537997446,0.9928641431933442,0.011527030417191738,0.018605444362951702,11.893067881680917,10.363313290232046,-25.88527724823514,144398.99343459713,0.0007999275888366487,301.01,164.04,136.97
10,0,0.9951974698475429,1.0032692073983853,0.0024204926428904837,0.00471530542947478,24.168958452012802,22.031980748337823,-33.3185157591594,185353.53579092876,0.0007998712720676683,300.29,164.91,135.38
11,0,0.9936916179397479,0.9970806269470047,0.007038530729264515,0.005584735426973258,31.318187012188677,27.69186241960756,-35.11751754502743,163376.0088035241,0.0007997988686820825,300.60,165.08,135.52
12,0,0.9976660747917331,0.993844353058488,0.012019676516835852,0.006258456604605864,22.076607397788965,30.46011966322931,-32.9208567119451,162170.18145791805,0.0007997103815962893,298.72,164.65,134.07
13,0,1.0005417355874768,0.9945128585621353,0.010411498472848143,0.0017871827061349225,19.42546986727323,32.19603970315721,-31.989224095275436,26657.913133869613,0.0007996058143745353,299.48,164.83,134.66
14,0,1.0060932418927044,1.0008451295071759,-0.000433646622365266,0.0050575136910246095,64.12167180333161,53.83489653914447,-39.69266973486269,589503.7432617742,0.0007994851712287732,299.51,164.95,134.56
15,0,1.003499666282109,1.0357512769059851,0.041074475894371666,0.0006631213727789897,22.044960784451398,33.28607431126102,-35.49794903815081,-43454.25309702753,0.0007993484570184912,299.59,164.76,134.83
16,0,1.0132556736874743,0.9660373654414492,0.0390307420115594,0.0019166602501249636,16.783843835770796,30.162576570603008,-30.549246153393806,-46145.40454207434,0.0007991956772505179,299.12,164.20,134.92
17,0,1.0096132803125446,1.002807153019929,0.008398663772664882,0.016128078116250968,14.280073531007996,14.795412907277905,-25.6809610468178,31114.18571111699,0.0007990268380787998,298.44,164.02,134.42
18,0,1.0001189967401984,1.00077488820478,0.00026884024309202335,0.00035646188945650023,9.408537350990922,9.764964310443343,-22.823655793056396,-32288.333561174633,0.0007988419463041544,299.31,164.70,134.61
19,0,1.0008634361280064,1.0045109814851754,0.0007675236800300086,0.013379248691989044,17.20896808536732,17.80623397619828,-32.11136860202476,1084342.7498646146,0.0007986410093739953,300.26,164.66,135.60
